PMID,Year,Author,Institution,City,Region,State,Latitude,Longitude
58881433,2020,Amelia Clarke,University of Waterloo,Waterloo,Ontario,Canada,43.4722854,-80.5448576
58881433,2020,Eduardo Ordonez‐Ponce,Athabasca University,Athabasca,Alberta,Canada,54.714955,-113.308545
58881433,2020,Ziqi Chai,University of Waterloo,Waterloo,Ontario,Canada,43.4722854,-80.5448576
58881433,2020,Jordan Andreasen,University of Lethbridge,Lethbridge,Alberta,Canada,49.6956181,-112.8451067
11795347,2020,Nur Khairlida Muhamad Khair,National University of Malaysia,Bangi,Selangor,Malaysia,2.9289681,101.7800927
11795347,2020,Khai Ern Lee,National University of Malaysia,Bangi,Selangor,Malaysia,2.9289681,101.7800927
11795347,2020,Mazlin Mokhtar,Sunway University,,,,,
3193544,2020,Tan Yiğitcanlar,Queensland University of Technology,Brisbane City,Queensland,Australia,-27.4773131,153.0270449
992704,2020,Kate Zinszer,The Quebec Population Health Research Network,Québec City,Quebec,Canada,46.8130816,-71.20745959999999
992704,2020,Andréa Caprara,Université de Montréal,Montreal,Quebec,Canada,45.5018869,-73.56739189999999
992704,2020,António Lima,McGill University Health Centre,Montréal,Québec,Canada,45.4732202,-73.6009187
992704,2020,Stéphanie Degroote,The Quebec Population Health Research Network,Québec City,Quebec,Canada,46.8130816,-71.20745959999999
992704,2020,Monica Zahreddine,Universidade de Fortaleza,,Ceará,Brazil,-3.7687753,-38.478061
992704,2020,Kellyanne Abreu,Institut du Développement Durable et des Relations Internationales,,,,,
992704,2020,Mabel Carabalí,Université de Montréal,Montreal,Quebec,Canada,45.5018869,-73.56739189999999
992704,2020,Katia Charland,The Quebec Population Health Research Network,Québec City,Quebec,Canada,46.8130816,-71.20745959999999
992704,2020,Mayana Azevedo Dantas,McGill University,Montréal,Québec,Canada,45.50601839999999,-73.5783235
992704,2020,José Wellington,Université de Montréal,Montreal,Quebec,Canada,45.5018869,-73.56739189999999
992704,2020,Beatriz Parra,The Quebec Population Health Research Network,Québec City,Quebec,Canada,46.8130816,-71.20745959999999
992704,2020,Florence Fournet,The Quebec Population Health Research Network,Québec City,Quebec,Canada,46.8130816,-71.20745959999999
992704,2020,Emmanuel Bonnet,Institut du Développement Durable et des Relations Internationales,,,,,
992704,2020,Denis Pérez,Institut du Développement Durable et des Relations Internationales,,,,,
992704,2020,Émilie Robert,Instituto de Medicina Tropical “Pedro Kourí”,Havana,Havana,Cuba,23.0356075,-82.47696789999999
992704,2020,Christian Dagenais,Université de Montréal,Montreal,Quebec,Canada,45.5018869,-73.56739189999999
992704,2020,Tarik Benmarhnia,Computer Research Institute of Montréal,Montreal,Quebec,Canada,45.5018869,-73.56739189999999
992704,2020,Neil Andersson,Université de Montréal,Montreal,Quebec,Canada,45.5018869,-73.56739189999999
992704,2020,Valéry Ridde,"University of California, San Diego",San Diego,California,United States,32.881168,-117.2343605
42192369,2020,Alia Fajarwati,Universitas Gadjah Mada,,Daerah Istimewa Yogyakarta,Indonesia,-7.7711974,110.3790996
42192369,2020,Agustina Setyaningrum,Universitas Teknologi Yogyakarta,,Daerah Istimewa Yogyakarta,Indonesia,-7.7475128,110.3554162
42192369,2020,Rini Rachmawati,Universitas Gadjah Mada,,Daerah Istimewa Yogyakarta,Indonesia,-7.7711974,110.3790996
42192369,2020,Bambang Sriyanto Eko Prakoso,Universitas Gadjah Mada,,Daerah Istimewa Yogyakarta,Indonesia,-7.7711974,110.3790996
50140101,2020,Jeanette A.M Seko,North-West University,Potchefstroom,North West,South Africa,-26.6906445,27.0928977
